code,isolate,temp_C,replicate,axis,hpi,col_diam_mm,col_diam_mm_corr,region
IN12-9-6.10.2.1,IN12-9-6,10,2,1,72,10.76,4.76,north
IN12-9-6.10.2.2,IN12-9-6,10,2,2,72,10.63,4.63,north
MP249.10.2.1,MP249,10,2,1,72,10.8,4.8,south
MP249.10.2.2,MP249,10,2,2,72,10.81,4.81,south
TN270.10.2.1,TN270,10,2,1,72,11,5,south
TN270.10.2.2,TN270,10,2,2,72,11.01,5.01,south
TN280.10.2.1,TN280,10,2,1,72,13.29,7.29,south
TN280.10.2.2,TN280,10,2,2,72,11.43,5.43,south
TN550.10.2.1,TN550,10,2,1,72,11.01,5.01,south
TN550.10.2.2,TN550,10,2,2,72,11.83,5.83,south
W12-6.10.2.1,W12-6,10,2,1,72,10.98,4.98,north
W12-6.10.2.2,W12-6,10,2,2,72,10.95,4.95,north
Dm13.10.3.1,Dm13,10,3,1,72,9.48,3.48,north
Dm13.10.3.2,Dm13,10,3,2,72,9.62,3.62,north
IN12-8-3.10.3.1,IN12-8-3,10,3,1,72,10.91,4.91,north
IN12-8-3.10.3.2,IN12-8-3,10,3,2,72,11.07,5.07,north
IN12-9-6.10.3.1,IN12-9-6,10,3,1,72,10.24,4.24,north
IN12-9-6.10.3.2,IN12-9-6,10,3,2,72,10.35,4.35,north
MP249.10.3.1,MP249,10,3,1,72,10.79,4.79,south
MP249.10.3.2,MP249,10,3,2,72,10.94,4.94,south
TN270.10.3.1,TN270,10,3,1,72,10.42,4.42,south
TN270.10.3.2,TN270,10,3,2,72,10.49,4.49,south
TN280.10.3.1,TN280,10,3,1,72,10.64,4.64,south
TN280.10.3.2,TN280,10,3,2,72,10.64,4.64,south
TN550.10.3.1,TN550,10,3,1,72,10.84,4.84,south
TN550.10.3.2,TN550,10,3,2,72,11.13,5.13,south
W12-6.10.3.1,W12-6,10,3,1,72,10.12,4.12,north
W12-6.10.3.2,W12-6,10,3,2,72,9.93,3.93,north
Dm13.30.1.1,Dm13,30,1,1,72,84,78,north
Dm13.30.1.2,Dm13,30,1,2,72,84,78,north
IN12-8-3.30.1.1,IN12-8-3,30,1,1,72,84,78,north
IN12-8-3.30.1.2,IN12-8-3,30,1,2,72,84,78,north
IN12-9-6.30.1.1,IN12-9-6,30,1,1,72,84,78,north
IN12-9-6.30.1.2,IN12-9-6,30,1,2,72,84,78,north
MP249.30.1.1,MP249,30,1,1,72,84,78,south
MP249.30.1.2,MP249,30,1,2,72,84,78,south
TN270.30.1.1,TN270,30,1,1,72,84,78,south
TN270.30.1.2,TN270,30,1,2,72,84,78,south
TN280.30.1.1,TN280,30,1,1,72,84,78,south
TN280.30.1.2,TN280,30,1,2,72,84,78,south
TN550.30.1.1,TN550,30,1,1,72,84,78,south
TN550.30.1.2,TN550,30,1,2,72,84,78,south
W12-6.30.1.1,W12-6,30,1,1,72,84,78,north
W12-6.30.1.2,W12-6,30,1,2,72,84,78,north
Dm13.30.2.1,Dm13,30,2,1,72,84,78,north
Dm13.30.2.2,Dm13,30,2,2,72,84,78,north
IN12-8-3.30.2.1,IN12-8-3,30,2,1,72,84,78,north
IN12-8-3.30.2.2,IN12-8-3,30,2,2,72,84,78,north
IN12-9-6.30.2.1,IN12-9-6,30,2,1,72,84,78,north
IN12-9-6.30.2.2,IN12-9-6,30,2,2,72,84,78,north
MP249.30.2.1,MP249,30,2,1,72,84,78,south
MP249.30.2.2,MP249,30,2,2,72,84,78,south
TN270.30.2.1,TN270,30,2,1,72,84,78,south
TN270.30.2.2,TN270,30,2,2,72,84,78,south
TN280.30.2.1,TN280,30,2,1,72,84,78,south
TN280.30.2.2,TN280,30,2,2,72,84,78,south
TN550.30.2.1,TN550,30,2,1,72,84,78,south
TN550.30.2.2,TN550,30,2,2,72,84,78,south
W12-6.30.2.1,W12-6,30,2,1,72,84,78,north
W12-6.30.2.2,W12-6,30,2,2,72,84,78,north
Dm13.30.3.2,Dm13,30,3,2,72,84,78,north
IN12-8-3.30.3.1,IN12-8-3,30,3,1,72,84,78,north
IN12-8-3.30.3.2,IN12-8-3,30,3,2,72,84,78,north
IN12-9-6.30.3.1,IN12-9-6,30,3,1,72,84,78,north
IN12-9-6.30.3.2,IN12-9-6,30,3,2,72,84,78,north
MP249.30.3.1,MP249,30,3,1,72,84,78,south
MP249.30.3.2,MP249,30,3,2,72,84,78,south
TN270.30.3.1,TN270,30,3,1,72,84,78,south
TN270.30.3.2,TN270,30,3,2,72,84,78,south
TN280.30.3.1,TN280,30,3,1,72,84,78,south
TN280.30.3.2,TN280,30,3,2,72,84,78,south
TN550.30.3.1,TN550,30,3,1,72,84,78,south
TN550.30.3.2,TN550,30,3,2,72,84,78,south
W12-6.30.3.1,W12-6,30,3,1,72,84,78,north
W12-6.30.3.2,W12-6,30,3,2,72,84,78,north
Dm13.10.1.1,Dm13,10,1,1,144,20.01,14.01,north
Dm13.10.1.2,Dm13,10,1,2,144,20.01,14.01,north
IN12-8-3.10.1.1,IN12-8-3,10,1,1,144,24.4,18.4,north
IN12-8-3.10.1.2,IN12-8-3,10,1,2,144,23.79,17.79,north
IN12-9-6.10.1.1,IN12-9-6,10,1,1,144,19.85,13.85,north
IN12-9-6.10.1.2,IN12-9-6,10,1,2,144,19.17,13.17,north
MP249.10.1.1,MP249,10,1,1,144,21.04,15.04,south
MP249.10.1.2,MP249,10,1,2,144,21.46,15.46,south
TN270.10.1.1,TN270,10,1,1,144,19.87,13.87,south
TN270.10.1.2,TN270,10,1,2,144,20.41,14.41,south
TN280.10.1.1,TN280,10,1,1,144,21.61,15.61,south
TN280.10.1.2,TN280,10,1,2,144,20.53,14.53,south
TN550.10.1.1,TN550,10,1,1,144,20.32,14.32,south
TN550.10.1.2,TN550,10,1,2,144,20.25,14.25,south
W12-6.10.1.1,W12-6,10,1,1,144,22.16,16.16,north
W12-6.10.1.2,W12-6,10,1,2,144,21.97,15.97,north
Dm13.10.2.1,Dm13,10,2,1,144,19.08,13.08,north
Dm13.10.2.2,Dm13,10,2,2,144,19.08,13.08,north
IN12-8-3.10.2.1,IN12-8-3,10,2,1,144,20.15,14.15,north
IN12-8-3.10.2.2,IN12-8-3,10,2,2,144,20.08,14.08,north
IN12-9-6.10.2.1,IN12-9-6,10,2,1,144,17.93,11.93,north
IN12-9-6.10.2.2,IN12-9-6,10,2,2,144,17.87,11.87,north
MP249.10.2.1,MP249,10,2,1,144,20.03,14.03,south
MP249.10.2.2,MP249,10,2,2,144,20.05,14.05,south
TN270.10.2.1,TN270,10,2,1,144,19.52,13.52,south
TN270.10.2.2,TN270,10,2,2,144,19.29,13.29,south
TN280.10.2.1,TN280,10,2,1,144,20.78,14.78,south
TN280.10.2.2,TN280,10,2,2,144,20.15,14.15,south
TN550.10.2.1,TN550,10,2,1,144,17.5,11.5,south
TN550.10.2.2,TN550,10,2,2,144,18.09,12.09,south
W12-6.10.2.1,W12-6,10,2,1,144,20.6,14.6,north
W12-6.10.2.2,W12-6,10,2,2,144,20.6,14.6,north
Dm13.10.3.1,Dm13,10,3,1,144,18.03,12.03,north
Dm13.10.3.2,Dm13,10,3,2,144,17.97,11.97,north
IN12-8-3.10.3.1,IN12-8-3,10,3,1,144,20.39,14.39,north
IN12-8-3.10.3.2,IN12-8-3,10,3,2,144,20.24,14.24,north
IN12-9-6.10.3.1,IN12-9-6,10,3,1,144,17.57,11.57,north
IN12-9-6.10.3.2,IN12-9-6,10,3,2,144,17.71,11.71,north
MP249.10.3.1,MP249,10,3,1,144,19.17,13.17,south
MP249.10.3.2,MP249,10,3,2,144,19.05,13.05,south
TN270.10.3.1,TN270,10,3,1,144,19.19,13.19,south
TN270.10.3.2,TN270,10,3,2,144,18.56,12.56,south
TN280.10.3.1,TN280,10,3,1,144,17.62,11.62,south
TN280.10.3.2,TN280,10,3,2,144,17.72,11.72,south
TN550.10.3.1,TN550,10,3,1,144,18.3,12.3,south
TN550.10.3.2,TN550,10,3,2,144,18.3,12.3,south
W12-6.10.3.1,W12-6,10,3,1,144,19.6,13.6,north
W12-6.10.3.2,W12-6,10,3,2,144,19.03,13.03,north
Dm13.30.1.1,Dm13,30,1,1,144,84,78,north
Dm13.30.1.2,Dm13,30,1,2,144,84,78,north
IN12-8-3.30.1.1,IN12-8-3,30,1,1,144,84,78,north
IN12-8-3.30.1.2,IN12-8-3,30,1,2,144,84,78,north
IN12-9-6.30.1.1,IN12-9-6,30,1,1,144,84,78,north
IN12-9-6.30.1.2,IN12-9-6,30,1,2,144,84,78,north
MP249.30.1.1,MP249,30,1,1,144,84,78,south
MP249.30.1.2,MP249,30,1,2,144,84,78,south
TN270.30.1.1,TN270,30,1,1,144,84,78,south
TN270.30.1.2,TN270,30,1,2,144,84,78,south
TN280.30.1.1,TN280,30,1,1,144,84,78,south
TN280.30.1.2,TN280,30,1,2,144,84,78,south
TN550.30.1.1,TN550,30,1,1,144,84,78,south
TN550.30.1.2,TN550,30,1,2,144,84,78,south
W12-6.30.1.1,W12-6,30,1,1,144,84,78,north
W12-6.30.1.2,W12-6,30,1,2,144,84,78,north
Dm13.30.2.1,Dm13,30,2,1,144,84,78,north
Dm13.30.2.2,Dm13,30,2,2,144,84,78,north
IN12-8-3.30.2.1,IN12-8-3,30,2,1,144,84,78,north
IN12-8-3.30.2.2,IN12-8-3,30,2,2,144,84,78,north
IN12-9-6.30.2.1,IN12-9-6,30,2,1,144,84,78,north
IN12-9-6.30.2.2,IN12-9-6,30,2,2,144,84,78,north
MP249.30.2.1,MP249,30,2,1,144,84,78,south
MP249.30.2.2,MP249,30,2,2,144,84,78,south
TN270.30.2.1,TN270,30,2,1,144,84,78,south
TN270.30.2.2,TN270,30,2,2,144,84,78,south
TN280.30.2.1,TN280,30,2,1,144,84,78,south
TN280.30.2.2,TN280,30,2,2,144,84,78,south
TN550.30.2.1,TN550,30,2,1,144,84,78,south
TN550.30.2.2,TN550,30,2,2,144,84,78,south
W12-6.30.2.1,W12-6,30,2,1,144,84,78,north
W12-6.30.2.2,W12-6,30,2,2,144,84,78,north
Dm13.30.3.2,Dm13,30,3,2,144,84,78,north
IN12-8-3.30.3.1,IN12-8-3,30,3,1,144,84,78,north
IN12-8-3.30.3.2,IN12-8-3,30,3,2,144,84,78,north
IN12-9-6.30.3.1,IN12-9-6,30,3,1,144,84,78,north
IN12-9-6.30.3.2,IN12-9-6,30,3,2,144,84,78,north
MP249.30.3.1,MP249,30,3,1,144,84,78,south
MP249.30.3.2,MP249,30,3,2,144,84,78,south
TN270.30.3.1,TN270,30,3,1,144,84,78,south
TN270.30.3.2,TN270,30,3,2,144,84,78,south
TN280.30.3.1,TN280,30,3,1,144,84,78,south
TN280.30.3.2,TN280,30,3,2,144,84,78,south
TN550.30.3.1,TN550,30,3,1,144,84,78,south
TN550.30.3.2,TN550,30,3,2,144,84,78,south
W12-6.30.3.1,W12-6,30,3,1,144,84,78,north
W12-6.30.3.2,W12-6,30,3,2,144,84,78,north
Dm13.10.1.1,Dm13,10,1,1,168,20.53,14.53,north
Dm13.10.1.2,Dm13,10,1,2,168,20.9,14.9,north
IN12-8-3.10.1.1,IN12-8-3,10,1,1,168,27.59,21.59,north
IN12-8-3.10.1.2,IN12-8-3,10,1,2,168,26.83,20.83,north
IN12-9-6.10.1.1,IN12-9-6,10,1,1,168,21.81,15.81,north
IN12-9-6.10.1.2,IN12-9-6,10,1,2,168,21.35,15.35,north
MP249.10.1.1,MP249,10,1,1,168,22.6,16.6,south
MP249.10.1.2,MP249,10,1,2,168,22.8,16.8,south
TN270.10.1.1,TN270,10,1,1,168,21.6,15.6,south
TN270.10.1.2,TN270,10,1,2,168,21.61,15.61,south
TN280.10.1.1,TN280,10,1,1,168,22.54,16.54,south
TN280.10.1.2,TN280,10,1,2,168,21.03,15.03,south
TN550.10.1.1,TN550,10,1,1,168,23.58,17.58,south
TN550.10.1.2,TN550,10,1,2,168,22.85,16.85,south
W12-6.10.1.1,W12-6,10,1,1,168,26.66,20.66,north
W12-6.10.1.2,W12-6,10,1,2,168,25.69,19.69,north
Dm13.10.2.1,Dm13,10,2,1,168,21.28,15.28,north
Dm13.10.2.2,Dm13,10,2,2,168,21.08,15.08,north
IN12-8-3.10.2.1,IN12-8-3,10,2,1,168,21,15,north
IN12-8-3.10.2.2,IN12-8-3,10,2,2,168,21.83,15.83,north
IN12-9-6.10.2.1,IN12-9-6,10,2,1,168,20.01,14.01,north
IN12-9-6.10.2.2,IN12-9-6,10,2,2,168,20.01,14.01,north
MP249.10.2.1,MP249,10,2,1,168,22.17,16.17,south
MP249.10.2.2,MP249,10,2,2,168,22.93,16.93,south
TN270.10.2.1,TN270,10,2,1,168,22.84,16.84,south
TN270.10.2.2,TN270,10,2,2,168,22.55,16.55,south
TN280.10.2.1,TN280,10,2,1,168,22.61,16.61,south
TN280.10.2.2,TN280,10,2,2,168,21.36,15.36,south
TN550.10.2.1,TN550,10,2,1,168,20.05,14.05,south
TN550.10.2.2,TN550,10,2,2,168,22.11,16.11,south
W12-6.10.2.1,W12-6,10,2,1,168,24.7,18.7,north
W12-6.10.2.2,W12-6,10,2,2,168,24.7,18.7,north
Dm13.10.3.1,Dm13,10,3,1,168,19.09,13.09,north
Dm13.10.3.2,Dm13,10,3,2,168,19.34,13.34,north
IN12-8-3.10.3.1,IN12-8-3,10,3,1,168,22.51,16.51,north
IN12-8-3.10.3.2,IN12-8-3,10,3,2,168,22.44,16.44,north
IN12-9-6.10.3.1,IN12-9-6,10,3,1,168,20.79,14.79,north
IN12-9-6.10.3.2,IN12-9-6,10,3,2,168,20.78,14.78,north
MP249.10.3.1,MP249,10,3,1,168,20.52,14.52,south
