code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
MP223.20.2.2	MP223	20	2	2	1	19.5	
MP249.20.2.1	MP249	20	2	1	1	17.04	
MP249.20.2.2	MP249	20	2	2	1	17.9	
MP250.20.2.1	MP250	20	2	1	1	18.47	
MP250.20.2.2	MP250	20	2	2	1	18.51	
MP258.20.2.1	MP258	20	2	1	1	18.55	
MP258.20.2.2	MP258	20	2	2	1	18.07	
TN262.20.2.1	TN262	20	2	1	1	17.27	
TN262.20.2.2	TN262	20	2	2	1	17.47	
TN264.20.2.1	TN264	20	2	1	1	22.5	
TN264.20.2.2	TN264	20	2	2	1	21.83	
TN270.20.2.1	TN270	20	2	1	1	19.53	
TN270.20.2.2	TN270	20	2	2	1	19.31	
TN279.20.2.1	TN279	20	2	1	1	17.45	
TN279.20.2.2	TN279	20	2	2	1	17.07	
TN280.20.2.1	TN280	20	2	1	1	20.14	
TN280.20.2.2	TN280	20	2	2	1	20.27	
TN380.20.2.1	TN380	20	2	1	1	14.65	
TN380.20.2.2	TN380	20	2	2	1	14.65	
TN4.20.2.1	TN4	20	2	1	1	14.58	
TN4.20.2.2	TN4	20	2	2	1	14.58	
TN501.20.2.1	TN501	20	2	1	1	15.53	
TN501.20.2.2	TN501	20	2	2	1	15.53	
TN550.20.2.1	TN550	20	2	1	1	15.43	
TN550.20.2.2	TN550	20	2	2	1	15.61	
W12-6.20.2.1	W12-6	20	2	1	1	15.69	
W12-6.20.2.2	W12-6	20	2	2	1	16.65	
W23.20.2.1	W23	20	2	1	1	16.74	
W23.20.2.2	W23	20	2	2	1	16.63	
W3-5.20.2.1	W3-5	20	2	1	1	11.41	
W3-5.20.2.2	W3-5	20	2	2	1	12.44	
Dm13.25.1.1	Dm13	25	1	1	1	32.19	
Dm13.25.1.2	Dm13	25	1	2	1	32.49	
Et12.25.1.1	Et12	25	1	1	1	32.26	
Et12.25.1.2	Et12	25	1	2	1	34.88	
Et14.25.1.1	Et14	25	1	1	1	33.32	
Et14.25.1.2	Et14	25	1	2	1	32.48	
Et17.25.1.1	Et17	25	1	1	1	30.95	
Et17.25.1.2	Et17	25	1	2	1	30.82	
Et18.25.1.1	Et18	25	1	1	1	33.76	
Et18.25.1.2	Et18	25	1	2	1	33.23	
