code	isolate	temp_C	replicate	axis	dpi	col_diam_mm_corr
MP144.20.1.2	MP144	20	1	2	1	14.41
MP220.20.1.1	MP220	20	1	1	1	15.45
MP220.20.1.2	MP220	20	1	2	1	15.25
MP223.20.1.1	MP223	20	1	1	1	12.61
MP223.20.1.2	MP223	20	1	2	1	12.61
MP249.20.1.1	MP249	20	1	1	1	12.92
MP249.20.1.2	MP249	20	1	2	1	12.95
MP250.20.1.1	MP250	20	1	1	1	13.18
MP250.20.1.2	MP250	20	1	2	1	12.88
MP258.20.1.1	MP258	20	1	1	1	12.32
MP258.20.1.2	MP258	20	1	2	1	12.54
TN262.20.1.1	TN262	20	1	1	1	13.4
TN262.20.1.2	TN262	20	1	2	1	13.25
TN264.20.1.1	TN264	20	1	1	1	12.56
TN264.20.1.2	TN264	20	1	2	1	14.61
TN270.20.1.1	TN270	20	1	1	1	13.69
TN270.20.1.2	TN270	20	1	2	1	14.51
TN279.20.1.1	TN279	20	1	1	1	10.25
TN279.20.1.2	TN279	20	1	2	1	10.25
TN280.20.1.1	TN280	20	1	1	1	12.39
TN280.20.1.2	TN280	20	1	2	1	12.6
TN380.20.1.1	TN380	20	1	1	1	6.59
TN380.20.1.2	TN380	20	1	2	1	8.84
TN4.20.1.1	TN4	20	1	1	1	6.71
TN4.20.1.2	TN4	20	1	2	1	6.26
TN501.20.1.1	TN501	20	1	1	1	7.98
TN501.20.1.2	TN501	20	1	2	1	8.32
TN550.20.1.1	TN550	20	1	1	1	9.47
TN550.20.1.2	TN550	20	1	2	1	9.61
W12-6.20.1.1	W12-6	20	1	1	1	8.97
W12-6.20.1.2	W12-6	20	1	2	1	9.29
W23.20.1.1	W23	20	1	1	1	10
W23.20.1.2	W23	20	1	2	1	9.96
W3-5.20.1.1	W3-5	20	1	1	1	6.43
W3-5.20.1.2	W3-5	20	1	2	1	7.09
Dm13.20.2.1	Dm13	20	2	1	1	16.74
Dm13.20.2.2	Dm13	20	2	2	1	17.85
Et12.20.2.1	Et12	20	2	1	1	19.39
Et12.20.2.2	Et12	20	2	2	1	18.72
Et14.20.2.1	Et14	20	2	1	1	16.78
Et14.20.2.2	Et14	20	2	2	1	17.54
Et17.20.2.1	Et17	20	2	1	1	18.06
Et17.20.2.2	Et17	20	2	2	1	17.8
Et18.20.2.1	Et18	20	2	1	1	17.8
Et18.20.2.2	Et18	20	2	2	1	17.74
IN12-4.20.2.1	IN12-4	20	2	1	1	18.79
IN12-4.20.2.2	IN12-4	20	2	2	1	18.66
IN12-8-3.20.2.1	IN12-8-3	20	2	1	1	19.92
IN12-8-3.20.2.2	IN12-8-3	20	2	2	1	20.16
IN12-9-4.20.2.1	IN12-9-4	20	2	1	1	20.36
IN12-9-4.20.2.2	IN12-9-4	20	2	2	1	19.12
IN12-9-6.20.2.1	IN12-9-6	20	2	1	1	15.59
IN12-9-6.20.2.2	IN12-9-6	20	2	2	1	15.52
IN12-PO-3.20.2.1	IN12-PO-3	20	2	1	1	16.25
IN12-PO-3.20.2.2	IN12-PO-3	20	2	2	1	16.25
Md10.20.2.1	Md10	20	2	1	1	17.31
Md10.20.2.2	Md10	20	2	2	1	17.31
Md3.20.2.1	Md3	20	2	1	1	14.74
Md3.20.2.2	Md3	20	2	2	1	15.34
Md5.20.2.1	Md5	20	2	1	1	17.04
Md5.20.2.2	Md5	20	2	2	1	16.1
Md6.20.2.1	Md6	20	2	1	1	15.47
Md6.20.2.2	Md6	20	2	2	1	16.33
Md7.20.2.1	Md7	20	2	1	1	16.63
Md7.20.2.2	Md7	20	2	2	1	15.76
MP144.20.2.1	MP144	20	2	1	1	13.87
MP144.20.2.2	MP144	20	2	2	1	13.75
MP220.20.2.1	MP220	20	2	1	1	15.21
MP220.20.2.2	MP220	20	2	2	1	15.21
MP223.20.2.1	MP223	20	2	1	1	13.36
MP223.20.2.2	MP223	20	2	2	1	13.5
