code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
MP249.30.1.1,MP249,30,1,1,48,82.76
MP249.30.1.2,MP249,30,1,2,48,82.6
TN270.30.1.1,TN270,30,1,1,48,84
TN270.30.1.2,TN270,30,1,2,48,84
TN280.30.1.1,TN280,30,1,1,48,84
TN280.30.1.2,TN280,30,1,2,48,84
TN550.30.1.1,TN550,30,1,1,48,84
TN550.30.1.2,TN550,30,1,2,48,84
W12-6.30.1.1,W12-6,30,1,1,48,79.43
W12-6.30.1.2,W12-6,30,1,2,48,79.66
Dm13.30.2.1,Dm13,30,2,1,48,84
Dm13.30.2.2,Dm13,30,2,2,48,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,48,83.69
IN12-8-3.30.2.2,IN12-8-3,30,2,2,48,83.62
IN12-9-6.30.2.1,IN12-9-6,30,2,1,48,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,48,84
MP249.30.2.1,MP249,30,2,1,48,83
MP249.30.2.2,MP249,30,2,2,48,82.88
TN270.30.2.1,TN270,30,2,1,48,84
TN270.30.2.2,TN270,30,2,2,48,84
TN280.30.2.1,TN280,30,2,1,48,84
TN280.30.2.2,TN280,30,2,2,48,84
TN550.30.2.1,TN550,30,2,1,48,83.21
TN550.30.2.2,TN550,30,2,2,48,82.81
W12-6.30.2.1,W12-6,30,2,1,48,81.87
W12-6.30.2.2,W12-6,30,2,2,48,81.23
Dm13.30.3.1,Dm13,30,3,1,48,84
Dm13.30.3.2,Dm13,30,3,2,48,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,48,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,48,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,48,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,48,84
MP249.30.3.1,MP249,30,3,1,48,82.04
MP249.30.3.2,MP249,30,3,2,48,82.21
TN270.30.3.1,TN270,30,3,1,48,84
TN270.30.3.2,TN270,30,3,2,48,84
TN280.30.3.1,TN280,30,3,1,48,84
TN280.30.3.2,TN280,30,3,2,48,84
TN550.30.3.1,TN550,30,3,1,48,81.81
TN550.30.3.2,TN550,30,3,2,48,81.9
W12-6.30.3.1,W12-6,30,3,1,48,78.67
W12-6.30.3.2,W12-6,30,3,2,48,78.63
Dm13.10.1.1,Dm13,10,1,1,72,12.27
Dm13.10.1.2,Dm13,10,1,2,72,12.27
IN12-8-3.10.1.1,IN12-8-3,10,1,1,72,13.04
IN12-8-3.10.1.2,IN12-8-3,10,1,2,72,13.09
IN12-9-6.10.1.1,IN12-9-6,10,1,1,72,11.28
IN12-9-6.10.1.2,IN12-9-6,10,1,2,72,11.1
MP249.10.1.1,MP249,10,1,1,72,11.23
MP249.10.1.2,MP249,10,1,2,72,11.26
TN270.10.1.1,TN270,10,1,1,72,10.85
TN270.10.1.2,TN270,10,1,2,72,10.86
TN280.10.1.1,TN280,10,1,1,72,12.39
TN280.10.1.2,TN280,10,1,2,72,12.39
TN550.10.1.1,TN550,10,1,1,72,11.47
TN550.10.1.2,TN550,10,1,2,72,11.33
W12-6.10.1.1,W12-6,10,1,1,72,10.65
W12-6.10.1.2,W12-6,10,1,2,72,10.62
Dm13.10.2.1,Dm13,10,2,1,72,11.45
Dm13.10.2.2,Dm13,10,2,2,72,11.31
IN12-8-3.10.2.1,IN12-8-3,10,2,1,72,11.17
IN12-8-3.10.2.2,IN12-8-3,10,2,2,72,11.19
IN12-9-6.10.2.1,IN12-9-6,10,2,1,72,10.76
IN12-9-6.10.2.2,IN12-9-6,10,2,2,72,10.63
MP249.10.2.1,MP249,10,2,1,72,10.8
MP249.10.2.2,MP249,10,2,2,72,10.81
TN270.10.2.1,TN270,10,2,1,72,11
TN270.10.2.2,TN270,10,2,2,72,11.01
TN280.10.2.1,TN280,10,2,1,72,13.29
TN280.10.2.2,TN280,10,2,2,72,11.43
TN550.10.2.1,TN550,10,2,1,72,11.01
TN550.10.2.2,TN550,10,2,2,72,11.83
W12-6.10.2.1,W12-6,10,2,1,72,10.98
W12-6.10.2.2,W12-6,10,2,2,72,10.95
Dm13.10.3.1,Dm13,10,3,1,72,9.48
Dm13.10.3.2,Dm13,10,3,2,72,9.62
IN12-8-3.10.3.1,IN12-8-3,10,3,1,72,10.91
IN12-8-3.10.3.2,IN12-8-3,10,3,2,72,11.07
IN12-9-6.10.3.1,IN12-9-6,10,3,1,72,10.24
IN12-9-6.10.3.2,IN12-9-6,10,3,2,72,10.35
MP249.10.3.1,MP249,10,3,1,72,10.79
MP249.10.3.2,MP249,10,3,2,72,10.94
TN270.10.3.1,TN270,10,3,1,72,10.42
TN270.10.3.2,TN270,10,3,2,72,10.49
TN280.10.3.1,TN280,10,3,1,72,10.64
TN280.10.3.2,TN280,10,3,2,72,10.64
TN550.10.3.1,TN550,10,3,1,72,10.84
TN550.10.3.2,TN550,10,3,2,72,11.13
W12-6.10.3.1,W12-6,10,3,1,72,10.12
W12-6.10.3.2,W12-6,10,3,2,72,9.93
Dm13.30.1.1,Dm13,30,1,1,72,84
Dm13.30.1.2,Dm13,30,1,2,72,84
IN12-8-3.30.1.1,IN12-8-3,30,1,1,72,84
IN12-8-3.30.1.2,IN12-8-3,30,1,2,72,84
IN12-9-6.30.1.1,IN12-9-6,30,1,1,72,84
IN12-9-6.30.1.2,IN12-9-6,30,1,2,72,84
MP249.30.1.1,MP249,30,1,1,72,84
MP249.30.1.2,MP249,30,1,2,72,84
TN270.30.1.1,TN270,30,1,1,72,84
TN270.30.1.2,TN270,30,1,2,72,84
TN280.30.1.1,TN280,30,1,1,72,84
TN280.30.1.2,TN280,30,1,2,72,84
TN550.30.1.1,TN550,30,1,1,72,84
TN550.30.1.2,TN550,30,1,2,72,84
W12-6.30.1.1,W12-6,30,1,1,72,84
W12-6.30.1.2,W12-6,30,1,2,72,84
Dm13.30.2.1,Dm13,30,2,1,72,84
Dm13.30.2.2,Dm13,30,2,2,72,84
IN12-8-3.30.2.1,IN12-8-3,30,2,1,72,84
IN12-8-3.30.2.2,IN12-8-3,30,2,2,72,84
IN12-9-6.30.2.1,IN12-9-6,30,2,1,72,84
IN12-9-6.30.2.2,IN12-9-6,30,2,2,72,84
MP249.30.2.1,MP249,30,2,1,72,84
MP249.30.2.2,MP249,30,2,2,72,84
TN270.30.2.1,TN270,30,2,1,72,84
TN270.30.2.2,TN270,30,2,2,72,84
TN280.30.2.1,TN280,30,2,1,72,84
TN280.30.2.2,TN280,30,2,2,72,84
TN550.30.2.1,TN550,30,2,1,72,84
TN550.30.2.2,TN550,30,2,2,72,84
W12-6.30.2.1,W12-6,30,2,1,72,84
W12-6.30.2.2,W12-6,30,2,2,72,84
Dm13.30.3.2,Dm13,30,3,2,72,84
IN12-8-3.30.3.1,IN12-8-3,30,3,1,72,84
IN12-8-3.30.3.2,IN12-8-3,30,3,2,72,84
IN12-9-6.30.3.1,IN12-9-6,30,3,1,72,84
IN12-9-6.30.3.2,IN12-9-6,30,3,2,72,84
MP249.30.3.1,MP249,30,3,1,72,84
MP249.30.3.2,MP249,30,3,2,72,84
