code,isolate,temp_C,replicate,axis,hpi,hpi_corr,col_diam_mm_corr,region
Et12.20.1.2,Et12,20,1,2,23,30.75,18.3,north
Et14.20.1.1,Et14,20,1,1,23,30.5,17.51,north
Et14.20.1.2,Et14,20,1,2,23,30.5,16.96,north
Et17.20.1.1,Et17,20,1,1,23,30.25,17.76,north
Et17.20.1.2,Et17,20,1,2,23,30.25,17.59,north
Et18.20.1.1,Et18,20,1,1,23,30,18.17,north
Et18.20.1.2,Et18,20,1,2,23,30,18.29,north
IN12-4.20.1.1,IN12-4,20,1,1,23,29.75,18.13,north
IN12-4.20.1.2,IN12-4,20,1,2,23,29.75,16.92,north
IN12-8-3.20.1.1,IN12-8-3,20,1,1,23,29.5,20.44,north
IN12-8-3.20.1.2,IN12-8-3,20,1,2,23,29.5,19.5,north
IN12-9-4.20.1.1,IN12-9-4,20,1,1,23,29.25,18.85,north
IN12-9-4.20.1.2,IN12-9-4,20,1,2,23,29.25,17.4,north
IN12-9-6.20.1.1,IN12-9-6,20,1,1,23,29,15.04,north
IN12-9-6.20.1.2,IN12-9-6,20,1,2,23,29,15.46,north
IN12-PO-3.20.1.1,IN12-PO-3,20,1,1,23,28.75,16.43,north
IN12-PO-3.20.1.2,IN12-PO-3,20,1,2,23,28.75,14.92,north
Md10.20.1.1,Md10,20,1,1,23,28.5,17.44,north
Md10.20.1.2,Md10,20,1,2,23,28.5,17.78,north
Md3.20.1.1,Md3,20,1,1,23,28.25,14.07,north
Md3.20.1.2,Md3,20,1,2,23,28.25,15.01,north
Md5.20.1.1,Md5,20,1,1,23,28,15.76,north
Md5.20.1.2,Md5,20,1,2,23,28,15.88,north
Md6.20.1.1,Md6,20,1,1,23,27.75,15.77,north
Md6.20.1.2,Md6,20,1,2,23,27.75,16.82,north
Md7.20.1.1,Md7,20,1,1,23,27.5,14.7,north
Md7.20.1.2,Md7,20,1,2,23,27.5,14.48,north
MP144.20.1.1,MP144,20,1,1,23,27.25,14.41,south
MP144.20.1.2,MP144,20,1,2,23,27.25,14.41,south
MP220.20.1.1,MP220,20,1,1,23,27,15.45,south
MP220.20.1.2,MP220,20,1,2,23,27,15.25,south
MP223.20.1.1,MP223,20,1,1,23,26.75,12.61,south
MP223.20.1.2,MP223,20,1,2,23,26.75,12.61,south
MP249.20.1.1,MP249,20,1,1,23,26.5,12.92,south
MP249.20.1.2,MP249,20,1,2,23,26.5,12.95,south
MP250.20.1.1,MP250,20,1,1,23,26.25,13.18,south
MP250.20.1.2,MP250,20,1,2,23,26.25,12.88,south
MP258.20.1.1,MP258,20,1,1,23,26,12.32,south
MP258.20.1.2,MP258,20,1,2,23,26,12.54,south
TN262.20.1.1,TN262,20,1,1,23,25.75,13.4,south
TN262.20.1.2,TN262,20,1,2,23,25.75,13.25,south
TN264.20.1.1,TN264,20,1,1,23,25.5,12.56,south
TN264.20.1.2,TN264,20,1,2,23,25.5,14.61,south
TN270.20.1.1,TN270,20,1,1,23,25.25,13.69,south
TN270.20.1.2,TN270,20,1,2,23,25.25,14.51,south
TN279.20.1.1,TN279,20,1,1,23,25,10.25,south
TN279.20.1.2,TN279,20,1,2,23,25,10.25,south
TN280.20.1.1,TN280,20,1,1,23,24.75,12.39,south
TN280.20.1.2,TN280,20,1,2,23,24.75,12.6,south
TN380.20.1.1,TN380,20,1,1,23,24.5,6.59,south
TN380.20.1.2,TN380,20,1,2,23,24.5,8.84,south
TN4.20.1.1,TN4,20,1,1,23,23,6.71,south
TN4.20.1.2,TN4,20,1,2,23,23,6.26,south
TN501.20.1.1,TN501,20,1,1,23,24.25,7.98,south
TN501.20.1.2,TN501,20,1,2,23,24.25,8.32,south
TN550.20.1.1,TN550,20,1,1,23,24,9.47,south
TN550.20.1.2,TN550,20,1,2,23,24,9.61,south
W12-6.20.1.1,W12-6,20,1,1,23,23.75,8.97,north
W12-6.20.1.2,W12-6,20,1,2,23,23.75,9.29,north
W23.20.1.1,W23,20,1,1,23,23.5,10,north
W23.20.1.2,W23,20,1,2,23,23.5,9.96,north
W3-5.20.1.1,W3-5,20,1,1,23,23.25,6.43,north
W3-5.20.1.2,W3-5,20,1,2,23,23.25,7.09,north
Dm13.20.2.1,Dm13,20,2,1,23,31,16.74,north
Dm13.20.2.2,Dm13,20,2,2,23,31,17.85,north
Et12.20.2.1,Et12,20,2,1,23,30.75,19.39,north
Et12.20.2.2,Et12,20,2,2,23,30.75,18.72,north
Et14.20.2.1,Et14,20,2,1,23,30.5,16.78,north
Et14.20.2.2,Et14,20,2,2,23,30.5,17.54,north
Et17.20.2.1,Et17,20,2,1,23,30.25,18.06,north
Et17.20.2.2,Et17,20,2,2,23,30.25,17.8,north
Et18.20.2.1,Et18,20,2,1,23,30,17.8,north
Et18.20.2.2,Et18,20,2,2,23,30,17.74,north
IN12-4.20.2.1,IN12-4,20,2,1,23,29.75,18.79,north
IN12-4.20.2.2,IN12-4,20,2,2,23,29.75,18.66,north
IN12-8-3.20.2.1,IN12-8-3,20,2,1,23,29.5,19.92,north
IN12-8-3.20.2.2,IN12-8-3,20,2,2,23,29.5,20.16,north
IN12-9-4.20.2.1,IN12-9-4,20,2,1,23,29.25,20.36,north
IN12-9-4.20.2.2,IN12-9-4,20,2,2,23,29.25,19.12,north
IN12-9-6.20.2.1,IN12-9-6,20,2,1,23,29,15.59,north
IN12-9-6.20.2.2,IN12-9-6,20,2,2,23,29,15.52,north
IN12-PO-3.20.2.1,IN12-PO-3,20,2,1,23,28.75,16.25,north
IN12-PO-3.20.2.2,IN12-PO-3,20,2,2,23,28.75,16.25,north
Md10.20.2.1,Md10,20,2,1,23,28.5,17.31,north
Md10.20.2.2,Md10,20,2,2,23,28.5,17.31,north
Md3.20.2.1,Md3,20,2,1,23,28.25,14.74,north
Md3.20.2.2,Md3,20,2,2,23,28.25,15.34,north
Md5.20.2.1,Md5,20,2,1,23,28,17.04,north
Md5.20.2.2,Md5,20,2,2,23,28,16.1,north
